clothing,resting_heartrate,thermal_cozie,nb_temp,user_id,t-ubi
9.0,65,11.0,31.812,enth02,27.78
9.0,65,11.0,31.875,enth02,27.78
9.0,65,11.0,32.188,enth02,27.78
9.0,65,11.0,32.5,enth02,27.78
9.0,65,11.0,32.5,enth02,28.33
9.0,65,11.0,32.625,enth02,31.227
9.0,65,11.0,32.812,enth02,31.4502
9.0,64,11.0,33.062,enth02,32.0124
9.0,64,11.0,33.062,enth02,31.7725
9.0,64,11.0,24.812,enth02,22.3
9.0,66,11.0,26.0,enth02,22.9
9.0,65,11.0,25.688,enth02,22.3
9.0,65,11.0,24.938,enth02,22.1
9.0,64,11.0,24.188,enth02,28.89
9.0,63,11.0,32.25,enth02,25.0
9.0,64,11.0,31.562,enth02,25.0
9.0,64,11.0,32.375,enth02,25.0
9.0,65,11.0,27.812,enth02,24.220261
9.0,65,11.0,28.5,enth02,23.8133
9.0,65,11.0,28.5,enth02,23.8133
9.0,64,11.0,28.625,enth02,23.7549
9.0,64,11.0,28.062,enth02,24.51667
9.0,63,11.0,28.375,enth02,24.303047
9.0,63,11.0,29.375,enth02,23.223
9.0,63,11.0,28.688,enth02,23.1917
9.0,63,11.0,28.688,enth02,23.1917
9.0,63,11.0,24.375,enth02,23.15
9.0,63,11.0,26.938,enth02,23.223
9.0,63,11.0,27.5,enth02,23.811707
9.0,63,11.0,27.25,enth02,23.0467
9.0,63,11.0,28.438,enth02,22.9549
